question,label
How do you ensure data security in accounting systems?,TRUE
What is the future of commercial space travel?,FALSE
What are the challenges of implementing an ERP system?,TRUE
How do you prune a rose bush?,FALSE
How does blockchain technology affect accounting?,TRUE
How do astronauts maintain their health in space?,FALSE
What is the role of artificial intelligence in accounting?,TRUE
What is the function of the mitochondria?,FALSE
How do you use accounting software for financial forecasting?,TRUE
What is the role of mission control during a space mission?,FALSE
What are the benefits of using digital payment systems in accounting?,TRUE
What is composting?,FALSE
How do you integrate accounting software with other business systems?,TRUE
How long does it take to travel to Mars?,FALSE
What is the importance of cybersecurity in accounting?,TRUE
Who was Shakespeare?,FALSE
How do you ensure compliance with data protection regulations?,TRUE
"What are exoplanets, and how are they discovered?",FALSE
What are the features of a good accounting information system?,TRUE
How do you temper chocolate?,FALSE
How do you manage electronic invoicing?,TRUE
What are space probes used for?,FALSE
What is the impact of e-commerce on accounting?,TRUE
What is the International Space Station?,FALSE
What are the trends in accounting technology?,TRUE
What was the first reusable spacecraft?,FALSE
How do you conduct an IT audit in accounting?,TRUE
What are the main ingredients in a Caesar salad?,FALSE
How do you handle cryptocurrency transactions in accounting?,TRUE
How do rockets work?,FALSE
What are the ethical responsibilities of an accountant?,TRUE
What is the main ingredient in bread?,FALSE
How do you handle conflicts of interest in accounting?,TRUE
Who was the first person to travel into space?,FALSE
What is the importance of professional skepticism in auditing?,TRUE
What is the Hubble Space Telescope?,FALSE
How do you maintain independence as an auditor?,TRUE
How do you make a roux?,FALSE
What is the role of continuing professional education (CPE) in accounting?,TRUE
How do astronauts grow food in space?,FALSE
What is hedge accounting?,TRUE
What are the three states of matter?,FALSE
What is cost accounting?,TRUE
What was the first interplanetary mission?,FALSE
How do you account for foreign currency transactions?,TRUE
How do you make a paper airplane?,FALSE
What is the role of international cooperation in space exploration?,FALSE
What is the equity method of accounting for investments?,TRUE
What is the function of DNA?,FALSE
What are intercompany transactions and how are they eliminated?,TRUE
What are the challenges of deep space communication?,FALSE
How do you prepare consolidated financial statements?,TRUE
What is the difference between sautéing and frying?,FALSE
What are the requirements for segment reporting?,TRUE
What is the significance of the Kepler Space Telescope?,FALSE
How do you account for contingent liabilities?,TRUE
What is the recipe for chocolate cake?,FALSE
What is revenue recognition and why is it important?,TRUE
What is the main objective of the James Webb Space Telescope?,FALSE
What is the Sarbanes-Oxley Act and how does it impact accounting?,TRUE
What are the layers of the Earth?,FALSE
How do you assess the effectiveness of internal controls?,TRUE
What are the potential hazards of space debris?,FALSE
What are internal controls in accounting?,TRUE
How do you bake a cake?,FALSE
Can you explain the different types of audit opinions?,TRUE
How do space agencies communicate with spacecraft?,FALSE
What is the purpose of an audit report?,TRUE
How do you play chess?,FALSE
What is a financial audit?,TRUE
How do space missions navigate in the vacuum of space?,FALSE
How do you ensure compliance with accounting standards?,TRUE
What is the largest mammal?,FALSE
What is the role of the International Accounting Standards Board (IASB)?,TRUE
What is the periodic table?,FALSE
What is the role of the Financial Accounting Standards Board (FASB)?,TRUE
How does microgravity affect the human body?,FALSE
How do GAAP and IFRS differ?,TRUE
How do you solve a Rubik's cube?,FALSE
What is the International Financial Reporting Standards (IFRS)?,TRUE
How has space exploration contributed to technological advancements on Earth?,FALSE
What are Generally Accepted Accounting Principles (GAAP)?,TRUE
Who wrote 'Pride and Prejudice'?,FALSE
How is the weighted average cost method used for inventory?,TRUE
What is the significance of the Curiosity Rover?,FALSE
What is the LIFO method of inventory valuation?,TRUE
What is a key signature?,FALSE
What is the FIFO method of inventory valuation?,TRUE
What was the purpose of the Apollo-Soyuz Test Project?,FALSE
How do you account for inventory?,TRUE
What is quantum physics?,FALSE
What are the different methods of depreciation?,TRUE
How do scientists search for extraterrestrial life?,FALSE
Can you explain the concept of depreciation?,TRUE
What is a chord progression?,FALSE
What is the purpose of retained earnings?,TRUE
What is a geostationary satellite?,FALSE
How is a cash flow statement prepared?,TRUE
How do you read sheet music?,FALSE
What are the components of an income statement?,TRUE
What was the Space Race?,FALSE
How do you prepare a balance sheet?,TRUE
How does the Earth's atmosphere affect space travel?,FALSE
What is the purpose of a trial balance?,TRUE
What is the circle of fifths?,FALSE
What are adjusting entries and why are they necessary?,TRUE
What are the challenges of living on Mars?,FALSE
How do you record a journal entry?,TRUE
How do you compose a melody?,FALSE
What is the cash basis of accounting?,TRUE
How do solar panels work on spacecraft?,FALSE
Can you explain the accrual basis of accounting?,TRUE
What is the role of robotics in space exploration?,FALSE
What is double-entry bookkeeping?,TRUE
What is the freezing point of water?,FALSE
"How do you define assets, liabilities, and equity?",TRUE
What are the Van Allen radiation belts?,FALSE
What is the accounting equation?,TRUE
Who was Albert Einstein?,FALSE
Can you explain the difference between financial accounting and managerial accounting?,TRUE
How do space telescopes differ from ground-based telescopes?,FALSE
What are the basic principles of accounting?,TRUE
What are the different phases of a space mission?,FALSE
